Polyommatus_celina	Repeats	58.72
Polyommatus_celina	SINE	0.98
Polyommatus_celina	Unknown	23.31
Polyommatus_damocles	DNA	7.68
Polyommatus_damocles	LINE	10.27
Polyommatus_damocles	LTR	8.39
Polyommatus_damocles	Other	1.95
Polyommatus_damocles	RC	12.81
Polyommatus_damocles	Repeats	64.75
Polyommatus_damocles	SINE	0.74
Polyommatus_damocles	Unknown	23.72
Polyommatus_damon	DNA	7.46
Polyommatus_damone	DNA	7.4
Polyommatus_damone	LINE	9.81
Polyommatus_damone	LTR	4.4
Polyommatus_damone	Other	2.44
Polyommatus_damone	RC	11.52
Polyommatus_damone	Repeats	61.25
Polyommatus_damone	SINE	0.64
Polyommatus_damone	Unknown	25.66
Polyommatus_damon	LINE	11.27
Polyommatus_damon	LTR	4.69
Polyommatus_damon	Other	2.59
Polyommatus_damon	RC	14.61
Polyommatus_damon	Repeats	64.69
Polyommatus_damon	SINE	1.05
Polyommatus_damon	Unknown	23.82
Polyommatus_daphnis	DNA	7.69
Polyommatus_daphnis	LINE	10.94
Polyommatus_daphnis	LTR	7.45
Polyommatus_daphnis	Other	2.64
Polyommatus_daphnis	RC	12.45
Polyommatus_daphnis	Repeats	66.17
Polyommatus_daphnis	SINE	1.02
Polyommatus_daphnis	Unknown	24.81
Polyommatus_dorylas	DNA	6.58
Polyommatus_dorylas	LINE	12.25
Polyommatus_dorylas	LTR	6.24
Polyommatus_dorylas	Other	3.4
Polyommatus_dorylas	RC	14.04
Polyommatus_dorylas	Repeats	68.76
Polyommatus_dorylas	SINE	1.43
Polyommatus_dorylas	Unknown	25.82
Polyommatus_eriwanensis	DNA	6.98
Polyommatus_eriwanensis	LINE	10.0
Polyommatus_eriwanensis	LTR	5.67
Polyommatus_eriwanensis	Other	8.92
Polyommatus_eriwanensis	RC	12.54
Polyommatus_eriwanensis	Repeats	66.97
Polyommatus_eriwanensis	SINE	0.5
Polyommatus_eriwanensis	Unknown	23.38
Polyommatus_eros	DNA	6.4
Polyommatus_eros	LINE	10.0
Polyommatus_eros	LTR	4.65
Polyommatus_eros	Other	2.11
Polyommatus_eros	RC	14.61
Polyommatus_eros	Repeats	62.61
Polyommatus_eros	SINE	1.14
Polyommatus_eros	Unknown	24.36
Polyommatus_escheri	DNA	6.54
Polyommatus_escheri	LINE	13.36
Polyommatus_escheri	LTR	4.59
Polyommatus_escheri	Other	2.41
Polyommatus_escheri	RC	13.52
Polyommatus_escheri	Repeats	64.07
Polyommatus_escheri	SINE	1.04
Polyommatus_escheri	Unknown	23.48
Polyommatus_fulgens	DNA	7.44
Polyommatus_fulgens	LINE	9.4
Polyommatus_fulgens	LTR	5.93
Polyommatus_fulgens	Other	3.84
Polyommatus_fulgens	RC	12.99
Polyommatus_fulgens	Repeats	63.76
Polyommatus_fulgens	SINE	0.84
Polyommatus_fulgens	Unknown	24.05
Polyommatus_icarus	DNA	4.97
Polyommatus_icarus	LINE	10.74
Polyommatus_icarus	LTR	4.2
Polyommatus_icarus	Other	2.2
Polyommatus_icarus	RC	12.9
Polyommatus_icarus	Repeats	58.71
Polyommatus_icarus	SINE	0.78
Polyommatus_icarus	Unknown	23.6
Polyommatus_iphigenia	DNA	7.14
Polyommatus_iphigenia	LINE	10.54
Polyommatus_iphigenia	LTR	4.52
Polyommatus_iphigenia	Other	2.19
Polyommatus_iphigenia	RC	13.71
Polyommatus_iphigenia	Repeats	61.78
Polyommatus_iphigenia	SINE	0.56
Polyommatus_iphigenia	Unknown	23.92
Polyommatus_pseudactis	DNA	8.18
Polyommatus_pseudactis	LINE	10.6
Polyommatus_pseudactis	LTR	7.24
Polyommatus_pseudactis	Other	3.44
Polyommatus_pseudactis	RC	11.38
Polyommatus_pseudactis	Repeats	65.15
Polyommatus_pseudactis	SINE	0.76
Polyommatus_pseudactis	Unknown	24.32
Polyommatus_surakovi	DNA	8.3
Polyommatus_surakovi	LINE	10.03
Polyommatus_surakovi	LTR	10.69
Polyommatus_surakovi	Other	4.94
Polyommatus_surakovi	RC	11.95
Polyommatus_surakovi	Repeats	65.97
Polyommatus_surakovi	SINE	0.63
Polyommatus_surakovi	Unknown	20.32
Polyommatus_thersites	DNA	5.58
Polyommatus_thersites	LINE	11.35
Polyommatus_thersites	LTR	5.23
Polyommatus_thersites	Other	1.29
Polyommatus_thersites	RC	14.69
Polyommatus_thersites	Repeats	62.47
Polyommatus_thersites	SINE	0.99
Polyommatus_thersites	Unknown	24.15
